time,val_1,val_2

291,17.00,16.80

292,16.80,16.69

293,16.80,16.60

294,16.80,16.51

295,16.80,16.43

296,16.80,16.34

297,16.80,16.26

298,16.50,16.19

299,16.50,16.12

300,16.50,16.04

301,16.50,15.96

302,16.50,15.92

303,16.50,15.86

304,16.20,15.83

305,16.20,15.77

306,16.20,15.73

307,16.20,15.70

308,16.20,15.66

309,16.20,15.62

310,16.20,15.61

311,15.90,15.59

312,15.90,15.56

313,15.90,15.56

314,15.90,15.54

315,15.90,15.52

316,15.90,15.55

317,15.80,15.52

318,15.80,15.52

319,15.80,15.53

320,15.80,15.50

321,15.80,15.48

322,15.80,15.46

323,15.60,15.44

324,15.60,15.43

325,15.60,15.42

326,15.60,15.39

327,15.60,15.38

328,15.60,15.36

329,15.50,15.36

330,15.50,15.36

331,15.50,15.38

332,15.50,15.38

333,15.50,15.37

334,15.50,15.37

335,15.40,15.37

336,15.40,15.35

337,15.40,15.35

338,15.40,15.35

339,15.40,15.34

340,15.40,15.35

341,15.40,15.33

342,15.40,15.34

343,15.40,15.35

344,15.40,15.35

345,15.40,15.36

346,15.40,15.36

347,15.40,15.35

348,15.30,15.36

349,15.30,15.37

350,15.30,15.36

351,15.30,15.36

352,15.30,15.35

353,15.30,15.35

354,15.30,15.34

355,15.30,15.32

356,15.30,15.32

357,15.30,15.33

358,15.30,15.31

359,15.30,15.31

360,15.30,15.31

361,15.30,15.33

362,15.30,15.35

363,15.30,15.36

364,15.30,15.36

365,15.30,15.36

366,15.30,15.36

367,15.30,15.38

368,15.30,15.37

369,15.30,15.37

370,15.30,15.38

371,15.30,15.35

372,15.30,15.34

373,15.30,15.33

374,15.30,15.34

375,15.30,15.35

376,15.30,15.36

377,15.30,15.36

378,15.20,15.36

379,15.20,15.35

380,15.20,15.33

381,15.20,15.33

382,15.20,15.34

383,15.20,15.34

384,15.20,15.34

385,15.20,15.33

386,15.20,15.32

387,15.20,15.31

388,15.20,15.30

389,15.20,15.31

390,15.20,15.31

391,15.20,15.32

392,15.20,15.31

393,15.20,15.31

394,15.20,15.32

395,15.20,15.33

396,15.20,15.35

397,15.20,15.34

398,15.20,15.34

399,15.20,15.34

400,15.20,15.34

401,15.20,15.34

402,15.20,15.35

403,15.20,15.34

404,15.20,15.33

405,15.20,15.34

406,15.20,15.34

407,15.20,15.34

408,15.20,15.35

409,15.20,15.36

410,15.20,15.38

411,15.20,15.38

412,15.20,15.40

413,15.20,15.42

414,15.20,15.41

415,15.20,15.40

416,15.20,15.39

417,15.20,15.41

418,15.20,15.41

419,15.20,15.41

420,15.20,15.40

421,15.20,15.40

422,15.20,15.39

423,15.20,15.39

424,15.20,15.40

425,15.20,15.42

426,15.20,15.42

427,15.20,15.40

428,15.20,15.40

429,15.20,15.38

430,15.20,15.38

431,15.20,15.36

432,15.20,15.36

433,15.20,15.35

434,15.20,15.35

435,15.20,15.33

436,15.20,15.34

437,15.20,15.34

438,15.20,15.35

439,15.20,15.37

440,15.20,15.37

441,15.20,15.40

442,15.20,15.39

443,15.20,15.39

444,15.20,15.40

445,15.20,15.40

446,15.20,15.41

447,15.20,15.43

448,15.20,15.43

449,15.20,15.42

450,15.20,15.40

451,15.20,15.40

452,15.20,15.41

453,15.20,15.41

454,15.20,15.41

455,15.20,15.40

456,15.20,15.39

457,15.20,15.38

458,15.20,15.37

459,15.20,15.38

460,15.20,15.39

461,15.20,15.38

462,15.20,15.40

463,15.20,15.40

464,15.20,15.39

465,15.20,15.41

466,15.20,15.43

467,15.20,15.44

468,15.20,15.46

469,15.20,15.45

470,15.20,15.46

471,15.30,15.46

472,15.30,15.46

473,15.30,15.47

474,15.30,15.50

475,15.30,15.48

476,15.30,15.45

477,15.20,15.44

478,15.20,15.45

479,15.20,15.45

480,15.20,15.45

481,15.20,15.46

482,15.20,15.45

483,15.20,15.45

484,15.20,15.46

485,15.20,15.47

486,15.20,15.52

487,15.20,15.57

488,15.20,15.61

489,15.30,15.66

490,15.30,15.71

491,15.30,15.76

492,15.30,15.83

493,15.30,15.87

494,15.30,15.91

495,15.30,15.95

496,15.50,15.98

497,15.50,15.99

