time,val_1,val_2

1,20.80,21.42

2,20.80,21.43

3,20.80,21.44

4,20.80,21.46

5,20.80,21.45

6,20.80,21.45

7,20.80,21.45

8,20.80,21.43

9,20.80,21.43

10,20.80,21.43

11,20.80,21.42

12,20.80,21.41

13,20.80,21.41

14,20.80,21.40

15,20.80,21.39

16,20.80,21.40

17,20.80,21.40

18,20.80,21.39

19,20.80,21.40

20,20.80,21.38

21,20.80,21.38

22,20.80,21.40

23,20.80,21.43

24,20.80,21.43

25,20.80,21.43

26,20.80,21.46

27,20.80,21.46

28,20.80,21.47

29,20.80,21.46

30,20.80,21.46

31,20.80,21.44

32,20.80,21.43

33,20.80,21.40

34,20.80,21.39

35,20.80,21.41

36,20.80,21.36

37,20.80,21.35

38,20.80,21.35

39,20.80,21.35

40,20.80,21.38

41,20.80,21.40

42,20.80,21.40

43,20.80,21.40

44,20.80,21.40

45,20.80,21.39

46,20.80,21.41

47,20.80,21.41

48,20.80,21.40

49,20.80,21.39

50,20.80,21.36

51,20.80,21.36

52,20.80,21.34

53,20.80,21.34

54,20.80,21.34

55,20.80,21.35

56,20.80,21.34

57,20.80,21.36

58,20.80,21.38

59,20.80,21.38

60,20.80,21.40

61,20.80,21.40

62,20.80,21.43

63,20.80,21.43

64,20.80,21.44

65,20.80,21.45

66,20.80,21.47

67,20.80,21.45

68,20.80,21.45

69,20.80,21.47

70,20.80,21.45

71,20.80,21.44

72,20.80,21.42

73,20.80,21.43

74,20.80,21.41

75,20.80,21.41

76,20.80,21.39

77,20.80,21.38

78,20.80,21.37

79,20.80,21.36

80,20.80,21.37

81,20.80,21.36

82,20.80,21.36

83,20.80,21.35

84,20.80,21.36

85,20.80,21.36

86,20.80,21.35

87,20.80,21.36

88,20.80,21.36

89,20.80,21.36

90,20.80,21.35

91,20.80,21.37

92,20.80,21.39

93,20.80,21.39

94,20.80,21.39

95,20.80,21.39

96,20.80,21.41

97,20.80,21.39

98,20.80,21.37

99,20.80,21.38

100,20.80,21.39

101,20.80,21.41

102,20.80,21.42

103,20.80,21.40

104,20.80,21.40

105,20.80,21.39

106,20.80,21.39

107,20.80,21.41

108,20.80,21.46

109,20.80,21.45

110,20.80,21.45

111,20.80,21.42

112,20.80,21.41

113,20.80,21.42

114,20.80,21.44

115,20.80,21.44

116,20.80,21.44

117,20.80,21.43

118,20.80,21.41

119,20.80,21.42

120,20.80,21.40

121,20.80,21.39

122,20.80,21.38

123,20.80,21.38

124,20.80,21.38

125,20.80,21.38

126,20.80,21.37

127,20.80,21.35

128,20.80,21.36

129,20.80,21.36

130,20.80,21.36

131,20.80,21.38

132,20.80,21.37

133,20.80,21.40

134,20.80,21.37

135,20.80,21.37

136,20.80,21.38

137,20.80,21.41

138,20.80,21.41

139,20.80,21.41

140,20.80,21.41

141,20.80,21.40

142,20.80,21.42

143,20.80,21.42

144,20.80,21.44

145,20.80,21.42

146,20.80,21.46

147,20.80,21.46

148,20.80,21.46

149,20.80,21.45

150,20.80,21.46

151,20.80,21.46

152,20.80,21.45

153,20.80,21.46

154,20.80,21.46

155,20.80,21.46

156,20.80,21.41

157,20.80,21.41

158,20.80,21.41

159,20.80,21.44

