time,val_1,val_2

1,20.80,20.88

2,20.80,20.89

3,20.80,20.87

4,20.80,20.85

5,20.80,20.86

6,20.80,20.85

7,20.80,20.84

8,20.80,20.84

9,20.80,20.85

10,20.80,20.85

11,20.80,20.85

12,20.80,20.86

13,20.80,20.86

14,20.80,20.88

15,20.80,20.87

16,20.80,20.87

17,20.80,20.88

18,20.80,20.87

19,20.80,20.87

20,20.80,20.89

21,20.80,20.87

22,20.80,20.86

23,20.80,20.87

24,20.80,20.87

25,20.80,20.89

26,20.80,20.89

27,20.80,20.89

28,20.80,20.93

29,20.80,20.91

30,20.80,20.88

31,20.80,20.89

32,20.80,20.90

33,20.80,20.91

34,20.80,20.90

35,20.80,20.90

36,20.80,20.90

37,20.80,20.92

38,20.80,20.90

39,20.80,20.93

40,20.80,20.96

41,20.80,20.95

42,20.80,20.96

43,20.80,20.95

44,20.80,20.94

45,20.80,20.93

46,20.80,20.94

47,20.80,20.93

48,20.80,20.92

49,20.80,20.92

50,20.80,20.90

51,20.80,20.92

52,20.80,20.93

53,20.80,20.94

54,20.80,20.95

55,20.80,20.97

56,20.80,20.93

57,20.80,20.95

58,20.80,20.94

59,20.80,20.91

60,20.80,20.92

61,20.80,20.88

62,20.80,20.87

63,20.80,20.88

64,20.80,20.88

65,20.80,20.88

66,20.80,20.91

67,20.80,20.92

68,20.80,20.92

69,20.80,20.93

70,20.80,20.92

71,20.80,20.95

72,20.80,20.94

73,20.80,20.95

74,20.80,20.94

75,20.80,20.93

76,20.80,20.93

77,20.80,20.91

78,20.80,20.90

79,20.80,20.91

80,20.80,20.92

81,20.80,20.92

82,20.80,20.91

83,20.80,20.91

84,20.80,20.91

85,20.80,20.92

86,20.80,20.92

87,20.80,20.92

88,20.80,20.93

89,20.80,20.92

90,20.80,20.92

91,20.80,20.91

92,20.80,20.93

93,20.80,20.91

94,20.80,20.92

95,20.80,20.93

96,20.80,20.90

97,20.80,20.90

98,20.80,20.88

99,20.80,20.90

100,20.80,20.90

101,20.80,20.88

102,20.80,20.84

103,20.80,20.85

104,20.80,20.83

105,20.80,20.82

106,20.80,20.84

107,20.80,20.84

108,20.80,20.87

109,20.80,20.88

110,20.80,20.87

111,20.80,20.88

112,20.80,20.90

113,20.80,20.90

