time,val_1,val_2

291,20.70,20.70

292,20.70,20.69

293,20.70,20.71

0,,

1,20.70,20.69

2,20.70,20.69

3,20.70,20.70

4,20.70,20.72

5,20.70,20.73

6,20.70,20.77

7,20.70,20.77

8,20.70,20.78

9,20.70,20.82

10,20.70,20.79

11,20.70,20.82

12,20.70,20.84

13,20.70,20.83

14,20.70,20.80

15,20.70,20.81

16,20.70,20.80

17,20.70,20.80

18,20.70,20.82

19,20.70,20.79

20,20.70,20.81

21,20.70,20.79

22,20.70,20.77

23,20.70,20.77

24,20.70,20.81

25,20.70,20.82

26,20.70,20.79

27,20.70,20.78

28,20.70,20.77

29,20.70,20.77

30,20.70,20.75

31,20.70,20.75

32,20.70,20.79

33,20.70,20.78

34,20.70,20.76

35,20.70,20.74

36,20.70,20.79

37,20.70,20.80

38,20.70,20.80

39,20.70,20.81

40,20.70,20.81

41,20.70,20.82

42,20.70,20.80

43,20.70,20.81

44,20.70,20.83

45,20.70,20.83

46,20.70,20.81

47,20.70,20.81

48,20.70,20.82

49,20.70,20.81

50,20.70,20.82

51,20.70,20.83

52,20.70,20.84

53,20.70,20.83

54,20.70,20.84

55,20.70,20.83

56,20.70,20.81

57,20.70,20.80

58,20.70,20.81

59,20.70,20.79

60,20.70,20.78

61,20.70,20.73

62,20.70,20.67

63,20.70,20.64

64,20.50,20.55

65,20.50,20.48

66,20.50,20.38

67,20.50,20.28

68,20.50,20.15

69,20.50,20.06

70,19.80,19.98

71,19.80,19.94

72,19.80,19.93

73,19.80,19.92

74,19.80,19.94

75,19.80,19.98

76,20.10,20.04

77,20.10,20.11

78,20.10,20.22

79,20.10,20.31

80,20.10,20.37

81,20.10,20.40

82,19.90,20.39

83,19.90,20.35

84,19.90,20.30

85,19.90,20.23

86,19.90,20.16

87,19.90,20.06

88,19.40,19.91

89,19.40,19.76

90,19.40,19.60

91,19.40,19.45

92,19.40,19.29

93,19.40,19.15

94,18.80,19.01

95,18.80,18.86

96,18.80,18.71

97,18.80,18.56

98,18.80,18.43

99,18.80,18.30

100,18.80,18.18

101,18.20,18.05

102,18.20,17.92

103,18.20,17.82

104,18.20,17.72

105,18.20,17.60

106,18.20,17.52

107,17.80,17.42

