time,val_1,val_2

1,20.80,20.97

2,20.80,20.97

3,20.80,20.95

4,20.80,20.92

5,20.80,20.90

6,20.80,20.88

7,20.80,20.87

8,20.80,20.88

9,20.80,20.86

10,20.80,20.87

11,20.80,20.86

12,20.80,20.84

13,20.80,20.86

14,20.80,20.86

15,20.80,20.85

16,20.80,20.88

17,20.80,20.91

18,20.80,20.92

19,20.80,20.93

20,20.80,20.91

21,20.80,20.91

22,20.80,20.92

23,20.80,20.92

24,20.80,20.93

25,20.80,20.96

26,20.80,20.94

27,20.80,20.90

28,20.80,20.93

29,20.80,20.93

30,20.80,20.94

31,20.80,20.93

32,20.80,20.93

33,20.80,20.95

34,20.80,20.96

35,20.80,20.96

36,20.80,20.96

37,20.80,20.95

38,20.80,20.93

39,20.80,20.94

40,20.80,20.93

41,20.80,20.95

42,20.80,20.94

43,20.80,20.91

44,20.80,20.92

45,20.80,20.90

46,20.80,20.89

47,20.80,20.92

48,20.80,20.91

49,20.80,20.91

50,20.80,20.90

51,20.80,20.91

52,20.80,20.90

53,20.80,20.93

54,20.80,20.91

55,20.80,20.91

56,20.80,20.90

57,20.80,20.89

58,20.80,20.89

59,20.80,20.88

60,20.80,20.89

61,20.80,20.89

62,20.80,20.90

63,20.80,20.87

64,20.80,20.86

65,20.80,20.86

66,20.80,20.86

67,20.80,20.86

68,20.80,20.85

69,20.80,20.85

70,20.80,20.85

71,20.80,20.86

72,20.80,20.89

73,20.80,20.90

74,20.80,20.91

75,20.80,20.92

76,20.80,20.91

77,20.80,20.92

78,20.80,20.94

79,20.80,20.94

80,20.80,20.94

81,20.80,20.91

82,20.80,20.91

83,20.80,20.92

84,20.80,20.90

85,20.80,20.90

86,20.80,20.94

87,20.80,20.92

88,20.80,20.90

89,20.80,20.91

90,20.80,20.91

91,20.80,20.91

92,20.80,20.89

93,20.80,20.90

94,20.80,20.92

95,20.80,20.92

96,20.80,20.90

97,20.80,20.92

98,20.80,20.92

99,20.80,20.92

100,20.80,20.93

101,20.80,20.94

102,20.80,20.93

103,20.80,20.94

104,20.80,20.94

105,20.80,20.95

106,20.80,20.93

107,20.80,20.93

108,20.80,20.96

109,20.80,20.95

110,20.80,20.92

111,20.80,20.91

112,20.80,20.94

113,20.80,20.90

114,20.80,20.89

115,20.80,20.89

116,20.80,20.89

117,20.80,20.90

118,20.80,20.90

119,20.80,20.89

120,20.80,20.92

121,20.80,20.92

122,20.80,20.90

123,20.80,20.93

124,20.80,20.95

125,20.80,20.96

126,20.80,20.98

127,20.80,20.97

128,20.80,20.93

129,20.80,20.95

130,20.80,20.93

131,20.80,20.94

132,20.80,20.93

133,20.80,20.94

134,20.80,20.88

135,20.80,20.86

136,20.80,20.86

137,20.80,20.86

138,20.80,20.86

139,20.80,20.85

140,20.80,20.86

141,20.80,20.87

142,20.80,20.86

143,20.80,20.85

144,20.80,20.89

145,20.80,20.87

146,20.80,20.86

147,20.80,20.88

148,20.80,20.89

149,20.80,20.89

150,20.80,20.89

151,20.80,20.90

152,20.80,20.89

153,20.80,20.90

154,20.80,20.87

155,20.80,20.92

156,20.80,20.94

157,20.80,20.97

158,20.80,20.97

159,20.80,20.97

160,20.80,20.97

161,20.80,20.96

162,20.80,20.98

163,20.80,20.97

164,20.80,21.01

165,20.80,20.98

166,20.80,20.98

167,20.80,20.96

168,20.80,20.95

169,20.80,20.93

170,20.80,20.92

171,20.80,20.86

172,20.70,20.78

173,20.70,20.75

174,20.70,20.64

175,20.70,20.57

176,20.70,20.43

177,20.70,20.29

178,20.20,20.16

179,20.20,20.04

180,20.20,19.89

181,20.20,19.78

182,20.20,19.70

183,20.20,19.60

184,19.70,19.51

185,19.70,19.42

186,19.70,19.37

187,19.70,19.32

188,19.70,19.30

189,19.70,19.29

190,19.50,19.30

191,19.50,19.29

192,19.50,19.25

193,19.50,19.20

194,19.50,19.19

195,19.50,19.16

196,19.20,19.11

197,19.20,19.06

198,19.20,18.97

199,19.20,18.89

200,19.20,18.78

201,19.20,18.67

202,19.20,18.57

203,18.60,18.46

204,18.60,18.33

205,18.60,18.22

206,18.60,18.10

207,18.60,17.98

208,18.60,17.88

209,18.10,17.78

210,18.10,17.67

211,18.10,17.57

212,18.10,17.47

213,18.10,17.40

214,18.10,17.32

215,17.80,17.25

216,17.80,17.21

217,17.80,17.15

218,17.80,17.11

219,17.80,17.04

220,17.80,17.00

221,17.50,16.96

222,17.50,16.94

223,17.50,16.92

224,17.50,16.92

225,17.50,16.89

226,17.50,16.87

227,17.30,16.85

228,17.30,16.83

229,17.30,16.82

230,17.30,16.80

231,17.30,16.79

232,17.30,16.77

233,17.20,16.77

234,17.20,16.74

235,17.20,16.73

236,17.20,16.70

237,17.20,16.71

238,17.20,16.68

239,17.20,16.67

240,17.00,16.67

241,17.00,16.66

242,17.00,16.67

243,17.00,16.65

244,17.00,16.63

245,17.00,16.61

246,16.90,16.64

247,16.90,16.60

248,16.90,16.57

249,16.90,16.55

250,16.90,16.52

251,16.90,16.51

252,16.80,16.49

253,16.80,16.47

254,16.80,16.47

255,16.80,16.46

256,16.80,16.43

