time,val_1,val_2

1,20.80,20.86

2,20.80,20.88

3,20.80,20.88

4,20.80,20.87

5,20.80,20.88

6,20.80,20.86

7,20.80,20.86

8,20.80,20.87

9,20.80,20.86

10,20.80,20.87

11,20.80,20.87

12,20.80,20.86

13,20.80,20.86

14,20.80,20.86

15,20.80,20.85

16,20.80,20.84

17,20.80,20.84

18,20.80,20.84

19,20.80,20.85

20,20.80,20.84

21,20.80,20.82

22,20.80,20.83

23,20.80,20.83

24,20.80,20.85

25,20.80,20.84

26,20.80,20.87

27,20.80,20.86

28,20.80,20.85

29,20.80,20.84

30,20.80,20.84

31,20.80,20.84

32,20.80,20.84

33,20.80,20.86

34,20.80,20.82

35,20.80,20.82

36,20.80,20.80

37,20.80,20.83

38,20.80,20.82

39,20.80,20.81

40,20.80,20.81

41,20.80,20.83

42,20.80,20.83

43,20.80,20.81

44,20.80,20.81

45,20.80,20.80

46,20.80,20.82

47,20.80,20.80

48,20.80,20.81

49,20.80,20.83

50,20.80,20.82

51,20.80,20.82

52,20.80,20.80

53,20.80,20.80

54,20.80,20.81

55,20.80,20.82

56,20.80,20.82

57,20.80,20.81

58,20.80,20.83

59,20.80,20.83

60,20.80,20.85

61,20.80,20.86

62,20.80,20.88

63,20.80,20.90

64,20.80,20.90

65,20.80,20.90

66,20.80,20.88

67,20.80,20.90

68,20.80,20.89

69,20.80,20.86

70,20.80,20.87

71,20.80,20.83

72,20.80,20.84

73,20.80,20.84

74,20.80,20.83

75,20.80,20.85

76,20.80,20.83

77,20.80,20.81

78,20.80,20.81

79,20.80,20.81

80,20.80,20.81

81,20.80,20.81

82,20.80,20.79

83,20.80,20.78

84,20.80,20.76

85,20.80,20.76

86,20.80,20.76

87,20.80,20.77

88,20.80,20.77

89,20.80,20.81

90,20.80,20.80

91,20.80,20.81

92,20.80,20.84

93,20.80,20.85

94,20.80,20.88

95,20.80,20.90

96,20.80,20.92

97,20.80,20.91

98,20.80,20.90

99,20.80,20.89

100,20.80,20.89

101,20.80,20.88

102,20.80,20.88

103,20.80,20.87

104,20.80,20.85

105,20.80,20.85

106,20.80,20.83

107,20.80,20.85

108,20.80,20.85

109,20.80,20.85

110,20.80,20.86

111,20.80,20.86

112,20.80,20.86

113,20.80,20.86

114,20.80,20.88

115,20.80,20.84

116,20.80,20.86

117,20.80,20.85

118,20.80,20.85

119,20.80,20.83

120,20.80,20.80

121,20.80,20.78

122,20.80,20.79

123,20.80,20.79

124,20.80,20.78

125,20.80,20.82

126,20.80,20.80

127,20.80,20.81

128,20.80,20.80

129,20.80,20.79

130,20.80,20.80

131,20.80,20.80

132,20.80,20.80

133,20.80,20.80

134,20.80,20.80

135,20.80,20.79

136,20.80,20.80

137,20.80,20.80

138,20.80,20.82

139,20.80,20.82

140,20.80,20.83

141,20.80,20.82

142,20.80,20.81

143,20.80,20.83

144,20.80,20.84

145,20.80,20.84

146,20.80,20.84

147,20.80,20.82

148,20.80,20.82

149,20.80,20.84

150,20.80,20.85

151,20.80,20.88

152,20.80,20.90

153,20.70,20.90

154,20.70,20.87

155,20.70,20.84

156,20.70,20.82

157,20.70,20.82

158,20.70,20.79

159,20.70,20.73

160,20.60,20.70

161,20.60,20.67

162,20.60,20.61

163,20.60,20.54

164,20.60,20.51

165,20.60,20.54

166,20.50,20.50

167,20.50,20.44

168,20.50,20.42

169,20.50,20.43

170,20.50,20.39

171,20.50,20.36

172,20.40,20.36

173,20.40,20.37

174,20.40,20.36

175,20.40,20.33

176,20.40,20.30

177,20.40,20.31

178,20.40,20.31

179,20.40,20.28

180,20.40,20.29

181,20.40,20.27

182,20.40,20.26

183,20.40,20.23

184,20.30,20.20

185,20.30,20.17

186,20.30,20.17

187,20.30,20.11

188,20.30,20.08

189,20.30,20.08

190,20.20,20.02

191,20.20,19.99

192,20.20,19.93

193,20.20,19.92

194,20.20,19.91

195,20.20,19.87

196,20.20,19.84

197,20.20,19.84

198,20.20,19.84

199,20.20,19.81

200,20.20,19.81

201,20.20,19.80

202,20.20,19.80

203,20.20,19.76

204,20.20,19.73

205,20.20,19.73

206,20.20,19.67

207,20.20,19.62

208,20.20,19.56

209,20.20,19.53

210,20.20,19.47

211,20.20,19.43

212,20.20,19.38

213,20.20,19.34

214,20.20,19.29

215,20.10,19.24

216,20.10,19.21

217,20.10,19.20

218,20.10,19.18

219,20.10,19.13

220,20.10,19.12

221,20.10,19.11

222,20.10,19.09

223,20.10,19.07

224,20.10,19.06

225,20.10,19.01

226,20.10,19.00

227,20.10,18.99

228,20.10,18.98

229,20.10,18.99

230,20.10,18.97

231,20.10,18.94

232,20.10,18.91

233,20.10,18.90

234,20.00,18.89

235,20.00,18.90

236,20.00,18.90

237,20.00,18.86

238,20.00,18.86

239,20.00,18.84

240,20.00,18.83

241,20.00,18.84

242,20.00,18.84

243,20.00,18.84

244,20.00,18.81

245,20.00,18.80

246,20.00,18.79

247,20.00,18.83

248,20.00,18.82

249,20.00,18.81

250,20.00,18.80

251,20.00,18.79

252,19.90,18.76

253,19.90,18.75

254,19.90,18.75

255,19.90,18.76

256,19.90,18.75

257,19.90,18.73

258,19.80,18.71

259,19.80,18.69
