time,val_1,val_2

1,20.8,20.94

2,20.8,20.94

3,20.8,20.94

4,20.8,20.96

5,20.8,20.92

6,20.8,20.93

7,20.8,20.93

8,20.8,20.93

9,20.8,20.94

10,20.8,20.92

11,20.8,20.94

12,20.8,20.94

13,20.8,20.93

14,20.8,20.91

15,20.8,20.92

16,20.9,20.91

17,20.9,20.92

18,20.9,20.91

19,20.9,20.9

20,20.9,20.9

21,20.9,20.89

22,20.9,20.89

23,20.9,20.9

24,20.9,20.92

25,20.9,20.91

26,20.9,20.91

27,20.9,20.9

28,20.9,20.9

29,20.9,20.89

30,20.9,20.89

31,20.9,20.9

32,20.9,20.89

33,20.9,20.89

34,20.9,20.87

35,20.9,20.88

36,20.9,20.87

37,20.9,20.85

38,20.9,20.87

39,20.9,20.87

40,20.9,20.88

41,20.9,20.87

42,20.9,20.88

43,20.9,20.89

44,20.9,20.9

45,20.9,20.92

46,20.9,20.92

47,20.9,20.93

48,20.9,20.91

49,20.9,20.92

50,20.9,20.91

51,20.9,20.92

52,20.9,20.92

53,20.9,20.91

54,20.9,20.91

55,20.9,20.9

56,20.9,20.9

57,20.9,20.9

58,20.9,20.94

59,20.9,20.94

60,20.9,20.94

61,20.9,20.93

62,20.9,20.93

63,20.9,20.94

64,20.9,20.93

65,20.9,20.94

66,20.9,20.93

67,20.9,20.96

68,20.9,20.94

69,20.9,20.93

70,20.9,20.92

71,20.8,20.91

72,20.8,20.9

73,20.8,20.91

74,20.8,20.91

75,20.8,20.9

76,20.8,20.93

77,20.8,20.9

78,20.8,20.9

79,20.8,20.9

80,20.8,20.92

81,20.8,20.92

82,20.8,20.93

83,20.8,20.9

84,20.8,20.9

85,20.8,20.89

86,20.8,20.86

87,20.8,20.86

88,20.8,20.86

89,20.8,20.87

90,20.8,20.86

91,20.8,20.86

92,20.8,20.87

93,20.8,20.89

94,20.8,20.91

95,20.8,20.91

96,20.8,20.93

97,20.8,20.92

98,20.8,20.92

99,20.8,20.92

100,20.8,20.92

101,20.8,20.93

102,20.8,20.92

103,20.8,20.89

104,20.8,20.89

105,20.8,20.88

106,20.8,20.88

107,20.8,20.87

108,20.8,20.87

109,20.8,20.86

110,20.8,20.86

111,20.8,20.85

112,20.8,20.86

113,20.8,20.89

114,20.8,20.87

115,20.8,20.89

116,20.8,20.88

117,20.8,20.9

118,20.8,20.89

119,20.8,20.92

120,20.8,20.92

121,20.8,20.94

122,20.8,20.95

123,20.8,20.92

124,20.8,20.92

125,20.8,20.9

126,20.8,20.9

127,20.8,20.91

128,20.8,20.9

129,20.8,20.87

130,20.8,20.87

131,20.8,20.85

132,20.8,20.84

133,20.8,20.84

134,20.8,20.86

135,20.8,20.85

136,20.8,20.86

137,20.8,20.84

138,20.8,20.87

139,20.8,20.88

140,20.8,20.89

141,20.8,20.88

142,20.8,20.88

143,20.8,20.89

144,20.8,20.88

145,20.8,20.9

146,20.8,20.88

147,20.8,20.89

148,20.8,20.86

149,20.8,20.87

150,20.8,20.85

151,20.8,20.87

152,20.8,20.87

153,20.8,20.85

154,20.8,20.83

155,20.8,20.83

156,20.8,20.85

157,20.8,20.85

158,20.8,20.85

159,20.8,20.84

160,20.8,20.84

161,20.8,20.85

162,20.8,20.84

163,20.8,20.86

164,20.8,20.87

165,20.8,20.87

166,20.8,20.88

167,20.8,20.9

168,20.8,20.89

169,20.8,20.9

170,20.8,20.89

171,20.8,20.92

172,20.8,20.93

173,20.8,20.95

